,Type,Metal,Ligand,Synthesis method,Solvent,Physical state,Oxidation number,Reaction Time (h),SSA (m2/g),Pore size (nm),pore volume (cm3/g),CO2 adsorption capacity (mmol/g),CO2 selectivity percentage,Adsorption Temp (K),Adsorption pressure (bar),filename,Group,SuperGroup,0,1,unit,mean
283,CAU-1,Al,NH2-BDC,solvothermal,MeOH,,3.0,5.0,1268.0,0.35,1.32,7.2,,273.0,1.01325,134.pdf,CAU-1,CAU-1,,,,
284,UiO-66-(CH3)2,Zr,"2,5-dimethyl H2BDC",solvothermal,,solid,4.0,,868.0,4.2,,25.6,,273.0,1.0132511,135.pdf,UiO-66,UiO,,,,
285,SMT-1-DMA,Cu,H2L1,coordination assembly,DMA,solid,2.0,,153.7,0.74,0.1,2.32,,196.0,1.01325,136.pdf,SMT-1-DMA,SMT,,,cm3,
286,SMT-2-DMA,Cu,H2L2,coordination assembly,DMA,solid,2.0,,,0.67,,1.11,,273.0,1.01325,136.pdf,SMT-2-DMA,SMT,,,,
287,PCN-88,Cu,H4L3,solvothermal,DMA,solid,2.0,2.0,3308.0,0.74,,,,273.0,1.01325,136.pdf,PCN-88,PCN,,,,
288,PCN-880-S,Cu,H4L3,one-pot reaction,,solid,2.0,,3042.0,,,,,273.0,1.01325,136.pdf,PCN-880-S,PCN,,,,
289,BUT-10,Zr,"9-fluorenone-2,7-dicarboxylic acid (H2FDCA)",solvothermal,DMF,solid,4.0,10.0,1310.0,1.85,0.82,2.25751762291425,,298.0,1.01325,137.pdf,BUT-10,BUT,,,,
290,BUT-11,Zr,"dibenzo[b,d]thiophene-3,7-dicarboxylic acid 5,5-dioxide (H2DTDAO)",solvothermal,DMF,solid,4.0,48.0,,1.84,0.62,2.386901043990363,,298.0,1.01325,137.pdf,BUT-11,BUT,,,,
291,Zr-btdc,Zr,"2,20-bithiophene-5,50-dicarboxylic acid (H2btdc)",solvothermal,N/N'/DMF,octahedron-shaped pale yellow crystals,4.0,5.0,2207.0,1.21,,3.06,,195.0,,138.pdf,Zr-btdc,Zr-btdc,,,,
292,bio-MOF-1,Zn,BPDC,cation-exchange,EtOH,,2.0,7.0,1630.0,,0.7,88.0,,273.0,1.0,139.pdf,MOF-1,MOF,,,cm3,
293,GND@bio-MOF-1,Zn,BPDC,cation-exchange,EtOH,,2.0,7.0,1640.0,,0.7,,,273.0,1.0,139.pdf,MOF-1,MOF,,,cm3,
294,AmGND@bio-MOF-1,Zn,BPDC,cation-exchange,EtOH,,2.0,7.0,1600.0,,0.7,,,273.0,1.0,139.pdf,MOF-1,MOF,,,cm3,
295,DiAmGND@bio-MOF-1,Zn,BPDC,cation-exchange,EtOH,,2.0,15.0,1500.0,,0.66,,,273.0,1.0,139.pdf,MOF-1,MOF,,,cm3,
296,S_Cu,Cu,H4TCPP,solvothermal,DMF,solid,2.0,48.0,,0.6,0.62,6.3031129288798,,298.0,1.01325,140.pdf,S_Cu,S_Cu,,,,
297,S_P,Al,H4TCPP,solvothermal,H2O,solid,3.0,24.0,,0.6,0.78,3.47875482844808,,298.0,1.01325,140.pdf,S_P,S_P,,,,
298,Co(II)14-MOC,Co,"imidazolate-4,5-diamide-2-olate (L3)",solvothermal,DMF,,,,,0.17,,1.2046042651913982,,298.0,1.0,141.pdf,Co(II)14-MOC,Co(II)14-MOC,,,,
299,IFP-8,Co,2-methoxyimidazolate-4-amide-5-imidate (L2),solvothermal,DMF,,,,,0.19,,1.2046042651913982,,,,141.pdf,IFP-8,IFP-8,,,,
300,PCN-200,Cu,"1,3-di(4-pyridyl)propane (dpp)",one-pot synthesis,H2O,solid,2.0,1.0,,0.44,,129.0,,195.0,1.0,142.pdf,PCN-200,PCN,,,,
301,{Co 3O(HBTC) 2(H2O)(DMF)} n(1),Co,H3BTC,solvothermal,DMF,solid,,2.0,340.6,0.99,,3.827964664941554,,273.0,1.01325,143.pdf,{Co 3O(HBTC) 2(H2O)(DMF)} n(1),Metal/BTC,,,,
302,{Co 2(BTC)Cl(DEF) 3} n(2),Co,H3BTC,solvothermal,DEF,solid,,2.0,17.4,0.85,,0.5398411706968859,,273.0,1.01325,143.pdf,{Co 2(BTC)Cl(DEF) 3} n(2),Metal/BTC,,,,
303,{Co 3O(BTB) 2(DMF) /C12(N(CH 3)2)/C1(H2O)} n(3),Co,H3BTB,solvothermal,DMF,solid,,2.0,121.6,,,1.9229053270277505,,273.0,1.01325,143.pdf,{Co 3O(BTB) 2(DMF) /C12(N(CH 3)2)/C1(H2O)} n(3),{Co 3O(BTB) 2(DMF) /C12(N(CH 3)2)/C1(H2O)} n(3),,,,
304,{Co 3(HCOO)(BTB) 2(DEF) /C1(N(C 2-H5)2)} n(4),Co,H3BTB,solvothermal,DEF,solid,,2.0,,,,1.2893727134826447,,273.0,1.01325,143.pdf,{Co 3(HCOO)(BTB) 2(DEF) /C1(N(C 2-H5)2)} n(4),{Co 3(HCOO)(BTB) 2(DEF) /C1(N(C 2-H5)2)} n(4),,,,
305,HKUST-1,Cu,H3BTC,hydrothermal,EtOH,solid,2.0,12.0,1326.0,0.9,0.58,1.82,,303.0,10.0,144.pdf,HKUST-1,HKUST,,,,
306,MIL-101(Cr),Cr,H2BDC = C6H4(COO)2,hydrothermal,EtOH,solid,3.0,8.0,2549.0,3.2,1.3,1.17,,303.0,10.0,144.pdf,MIL-101,MIL,,,,
307,MIL-100,Cr,H3BTC,hydrothermal,H2O,solid,6.0,4.0,1900.0,2.5,1.1,12.492192379762647,,303.0,50.0,145.pdf,MIL-100,MIL,,,,
308,MIL-101,Cr,H2BDC,hydrothermal,hotEtOH,solid,6.0,8.0,4230.0,2.9,2.15,17.399839386097973,,303.0,50.0,145.pdf,MIL-101,MIL,,,,
309,Cu-BTC,Cu,H3BTC,,,,2.0,,892.0,,0.43,8.18,,298.0,15.0,146.pdf,Cu-BTC,Metal/BTC,,,,
310,MOF/GO,Cu,GO,,,,2.0,,1010.0,,0.49,10.23,,298.0,15.0,146.pdf,MOF/GO,Gr@,,,,
311,MOF/GO;U1,Cu,GO;U1,,,,2.0,,864.0,,0.42,7.39,,298.0,15.0,146.pdf,MOF/GO;U1,Gr@,,,,
312,MOF/GO;U2,Cu,GO;U2,,,,2.0,,936.0,,0.47,10.45,,298.0,15.0,146.pdf,MOF/GO;U2,Gr@,,,,
313,MOF/GO;U3,Cu,GO;U3,,,,2.0,,1367.0,,0.66,15.0,,298.0,15.0,146.pdf,MOF/GO;U3,Gr@,,,,
314,SNU-150,Zn,NTN,solvothermal,DMA,doubly interpenetrated neutral framework,,24.0,1852.0,5.9,0.72,,,298.0,1.0132511,147.pdf,SNU-150,SNU,,,,
315,SNU-151,Zn,NTN,solvothermal,DEF,non-interpenetrated anionic framework,,24.0,1563.0,6.08,0.61,,,298.0,1.0132511,147.pdf,SNU-151,SNU,,,,
316,(Me2NH2)6[In10(TTCA)12]·24DMF·15H2O,In,"TTCA (triphenylene-2,6,10-tricarboxylate)",solvothermal,DMF/1/4/dioxane,colorless block-shaped crystals,3.0,72.0,726.8,0.8,,4.69,,273.0,1.01325,148.pdf,(Me2NH2)6[In10(TTCA)12]·24DMF·15H2O,(Me2NH2)6[In10(TTCA)12]·24DMF·15H2O,,,,
317,{[Zn2.66O0.66(L)2]·2H2O},Zn,"2,2-bis-trifluoromethyl-biphenyl-4,4-dicarboxylic acid (H2L)",hydrothermal,H2O,colorless crystals,,72.0,780.0,,0.31,6.998,,196.0,1.0132501,149.pdf,{[Zn2.66O0.66(L)2]·2H2O},{[Zn2.66O0.66(L)2]·2H2O},,,cm3,
318,ZJNU-40,Cu,"H4L (5,50-benzo[c][1,2,5]thiadiazole-4,7-diyl-diisophthalic acid)",solvothermal,DEF/H2O,blue rhombic crystals,1.0,,2209.0,1.52,0.88,4.818417060765593,,296.0,1.01325,150.pdf,ZJNU-40,ZJNU-40,,,cm3,
319,MOF-205-NH2,Zn,"1-aminonaphthalene-3,7-dicarboxylate",solvothermal,DMF/EtOH,solid,2.0,48.0,4330.0,,0.85,0.9949138931025252,,253.0,1.0,151.pdf,MOF-205-NH2,MOF,,,,
320,MOF-205-NO2,Zn,"1-nitronaphthalene-3,7-dicarboxylate",solvothermal,DMF,solid,2.0,48.0,3980.0,,0.84,0.9815294012670651,,273.0,1.0,151.pdf,MOF-205-NO2,MOF,,,,
321,MOF-205-OBn,Zn,"1,5-dibenzyl-oxy-2,6-naphthalenedicarboxylate",solvothermal,DMF/EtOH,solid,2.0,48.0,3470.0,,0.81,1.325064691710538,,298.0,1.0,151.pdf,MOF-205-OBn,MOF,,,,
322,MOF-2,,,,,,,,,,,,,,,152.pdf,MOF-2,MOF,,,,
323,MOF-505,,,,,,,,,,,,,,,152.pdf,MOF-505,MOF,,,,
324,MOF-74,,,,,,,,,,,,,,,152.pdf,MOF-74,MOF,,,,
325,IRMOF-11,,,,,,,,,,,,,,,152.pdf,IRMOF-11,IRMOF,,,,
326,IRMOF-3,,,,,,,,,,,,,,,152.pdf,IRMOF-3,IRMOF,,,,
327,IRMOF-6,,,,,,,,,,,,,,,152.pdf,IRMOF-6,IRMOF,,,,
328,MOF-177,,,,,,,,,1.4,,33.5,,,35.0,152.pdf,MOF-177,MOF,,,,
329,Mg-MOF-74,Mg,dhtp (C10H8O6),,,,2.0,,,,,9.5,,298.0,1.01,153.pdf,MOF-74,MOF,,,,
330,Zn-MOF-74,Zn,dhtp (C10H8O6),,,,2.0,,,,,1.6,,298.0,1.01,153.pdf,MOF-74,MOF,,,,
331,NJFU-2,Co,5-(pyrimidin-5-yl) isophthalic acid,solvothermal,DMA/MeOH,solid,,72.0,1223.0,0.31,0.44,1.3951374687571008,,298.0,0.15,154.pdf,NJFU-2,NJFU-2,,,cm3,
332,UTSA-72,Zn,"3,3′,3″,3‴-(pyrene-1,3,6,8-tetrayl)tetrabenzoic acid (H4PTTB)",solvothermal,DMF,solid,,48.0,173.0,0.29,,0.9681449094316051,,196.0,1.01325,155.pdf,UTSA-72,UTSA,,,,
333,NOTT-125,Cu,H4L=oxalylbis(azanediyl)diisophthalic acid,solvothermal,DMA/H2O,solid,,48.0,2447.0,24.0,1.1,40.1,,273.0,1.0132511,156.pdf,NOTT-125,NOTT,,,,
334,PCNp72,Mg,"H4TTTP (2',3',5',6'-tetramethylp[1,1':4',1''-terphenyl]p4,4'-dicarboxylic acid)",solvothermal,DMA/EtOH/DMSO,colorless needle-shaped crystals,2.0,3.0,,,,1.3406044080890707,,295.0,1.0,157.pdf,PCNp72,PCN,,,,
335,Pb-DDQ,Pb,H2DDQ,autoclave,DMF/H2O,yellow crystals,2.0,3.0,,0.88,,,,,,158.pdf,Pb-DDQ,Pb-DDQ,,,,
336,Zn-DDQ,Zn,H2DDQ,autoclave,DMF/H2O,white crystals,2.0,3.0,,1.56,,3.346122958864995,,273.0,1.066576,158.pdf,Zn-DDQ,Zn-DDQ,,,,
337,Cu-DDQ,Cu,H2DDQ,autoclave,DMF/H2O,green crystals,2.0,3.0,,1.53,,8.030695101275988,,273.0,1.066576,158.pdf,Cu-DDQ,Cu-DDQ,,,,
338,NENU-520,Zn,H2L (4-(1H-tetrazole-5-yl)biphenyl-4-carboxylic acid),solvothermal,DMF/EtOH,solid,,3.0,387.0,0.36,,4.7291871151958595,,298.0,1.0,159.pdf,NENU-520,NENU-520,,,,
339,eea-MOF-4,Cu,5-(isonicotinamido)isophthalic acid (H2L1),solvothermal,DMA/aceticacid(HOAc),green block microcrystals,2.0,24.0,1860.0,0.78,0.66,3.0,,298.0,0.15,160.pdf,eea-MOF-4,MOF,,,,
340,eea-MOF-5,Cu,5-(nicotinamido)isophthalic acid (H2L2),solvothermal,DMA/aceticacid(HOAc),green block microcrystals,2.0,24.0,1200.0,0.76,0.54,4.5,,298.0,0.15,160.pdf,MOF-5,MOF,,,,
341,rtl-MOF-2,Cu,5-(pyridin-4-ylamino)isophthalic acid (H2L3),ligand-to-axial (l-a) pillaring,N/N'/DMF/EtOH/H2O,,2.0,,,0.29,0.65,,,,,160.pdf,rtl-MOF-2,MOF,,,,
342,rtl-MOF-3,Cu,5-(pyridin-3-ylamino)isophthalic acid (H2L4),ligand-to-axial (l-a) pillaring,,,2.0,,,0.36,,,,,,160.pdf,rtl-MOF-3,MOF,,,,
343,rtl-MOF-4,Cu,5-(pyrimidin-5-ylamino)isophthalic acid (H2L5),ligand-to-axial (l-a) pillaring,,,2.0,,,,,,,,,160.pdf,rtl-MOF-4,MOF,,,,
344,NJFU-2,Co,5-(pyrimidin-5-yl) isophthalic acid,solvothermal,DMA/MeOH,,,72.0,1223.0,0.31,0.44,1.3951374687571008,,298.0,0.15,161.pdf,NJFU-2,NJFU-2,,,,
345,1,Co,"1,3,6,8-tetra(3,5-dicarboxylphenyl)pyrene",solvothermal conditions,DMF/MeOH/H2O,purple block-shaped crystals,,36.0,625.0,0.8,,2.7482823235477825,,273.0,1.01325,162.pdf,1,1,,,,
346,JUC-132,Cd,H12TDDPB,heating,DMAc/H2O,,,2.0,253.0,0.34,,2.72,,273.0,1.01325,163.pdf,JUC-132,JUC-132,,,,
347,UiO-66(Zr),Zr,H2BDC,solvothermal,DMF,solid,4.0,24.0,1730.0,3.9,0.8,3.38,,273.0,1.0,164.pdf,UiO-66,UiO,,,,
348,UiO-66-(COONa)2-EX,"Zr, Na",BTEC,metalated-ligand exchange,aqueoussolution,solid,4.0,5.0,870.0,,0.44,2.93,,273.0,1.0,164.pdf,UiO-66,UiO,,,,
349,UiO-66-(COOLi)4-EX,"Zr, Li",BTEC,metalated-ligand exchange,aqueoussolution,solid,4.0,5.0,970.0,3.9,0.45,3.44,,273.0,1.0,164.pdf,UiO-66,UiO,,,,
350,MIL-91(Al),Al,"N,N'-piperazine-bismethylene-phosphonate",hydrothermal,H2O,,3.0,,310.0,0.35,0.12,,,303.0,50.0,165.pdf,MIL-91(Al),MIL,,,cm3,
351,MOF-888,Ni,H6CPB,sonogashira coupling,DMF/H2O,crystalline,3.0,48.0,40.0,,,1.0707593468367984,,298.0,1.066576,166.pdf,MOF-888,MOF,,,,
352,MOF-889,Mg,H6CPB,sonogashira coupling,DEF/EtOH/H2O,crystalline,,24.0,140.0,,,2.453823503167663,,298.0,1.066576,166.pdf,MOF-889,MOF,,,,
353,MOF-890,Cu,H6CPB,sonogashira coupling,DMF/H2O,crystalline,,18.0,295.0,,,2.5876684215222627,,298.0,1.066576,166.pdf,MOF-890,MOF,,,,
354,MOF-891,Cu,H6CPB,sonogashira coupling,DEF/H2O,crystalline,,16.0,200.0,,,2.5876684215222627,,298.0,1.066576,166.pdf,MOF-891,MOF,,,,
355,(Me2NH2)6[In10(TTCA)12]·24DMF·15H2O,In,"Triphenylene-2,6,10-tricarboxylate (TTCA)",solvothermal,DMF/1/4/dioxane,colorless block-shaped crystals,3.0,72.0,726.8,0.8,,4.69,,273.0,1.01325,167.pdf,(Me2NH2)6[In10(TTCA)12]·24DMF·15H2O,(Me2NH2)6[In10(TTCA)12]·24DMF·15H2O,,,,
356,LIFM-10,Cu,H2INIA,solvothermal,,,2.0,,1550.0,0.8,0.64,29.42513065212452,,273.0,1.01325,168.pdf,LIFM-10,LIFM-10,,,,
357,LIFM-11,Cu,H2INOIA,solvothermal,,,2.0,,1176.0,0.9,0.68,29.447852760736197,,273.0,1.01325,168.pdf,LIFM-11,LIFM-11,,,,
358,MOF 2,Zn,H4TCBP,solvothermal,DMF,solid,,24.0,769.0,,,,,298.0,18.0,169.pdf,MOF-2,MOF,,,,
359,MOF 3,Zn,H4TCBP,post-synthetic modification,,solid,,24.0,800.0,,,,,298.0,18.0,169.pdf,MOF-3,MOF,,,,
360,MOF 4,Zn,H4TCBP,post-synthetic modification,,solid,,24.0,1370.0,,,,,298.0,18.0,169.pdf,MOF-4,MOF,,,,
361,MOF 5,Zn,H4TCBP,post-synthetic modification,CHCl3,solid,,24.0,390.0,,,,,298.0,18.0,169.pdf,MOF-5,MOF,,,,
362,[Fe2(BPEB)3],Fe,H2BPEB,one-pot reaction,DMF,solid,,6.0,1598.0,0.3,0.79,13.6,40.5,195.0,1.0,170.pdf,[Fe2(BPEB)3],[Fe2(BPEB)3],,,,
363,[Ni(BPEB)],Ni,H2BPEB,one-pot reaction,Pyridine,solid,,8.0,2378.0,0.97,1.05,11.6,51.0,195.0,1.0,170.pdf,[Ni(BPEB)],[Ni(BPEB)],,,,
364,a-[Zn(BPEB)],Zn,H2BPEB,one-pot reaction,Pyridine,solid,,6.0,1224.0,0.21,0.6,11.3,36.1,195.0,1.0,170.pdf,a-[Zn(BPEB)],a-[Zn(BPEB)],,,,
365,b-[Zn(BPEB)],Zn,H2BPEB,microwave-assisted synthesis,DMF,solid,,,,,,,,,,170.pdf,b-[Zn(BPEB)],b-[Zn(BPEB)],,,,
366,TMU-4,Zn,4-bpdb,mechanosynthesis,DMF,powder,,72.0,517.9,0.68,0.3,2.728651735522441,,273.0,1.0,171.pdf,TMU-4,TMU,,,cm3,
367,TMU-5,Zn,4-bpdh,mechanosynthesis,DMF,powder,,72.0,502.7,0.56,0.29,2.638975640224859,,273.0,1.0,171.pdf,TMU-5,TMU,,,cm3,
368,ZIF-70,Zn,Im,solvothermal,,,2.0,,1730.0,1.59,,,,298.0,1.066576,172.pdf,ZIF-70,ZIF,,,,
369,ZIF-80,Zn,,solvothermal,,,2.0,,,1.32,,,,,,172.pdf,ZIF-80,ZIF,,,,
370,ZIF-82,Zn,,solvothermal,,,2.0,,1300.0,1.23,,,,298.0,1.066576,172.pdf,ZIF-82,ZIF,,,,
371,ZIF-68,Zn,,solvothermal,,,2.0,,1090.0,1.03,,,,,,172.pdf,ZIF-68,ZIF,,,,
372,ZIF-69,Zn,,solvothermal,,,2.0,,950.0,0.78,,,,,,172.pdf,ZIF-69,ZIF,,,,
373,ZIF-79,Zn,,solvothermal,,,2.0,,810.0,0.75,,,,,,172.pdf,ZIF-79,ZIF,,,,
374,ZIF-81,Zn,,solvothermal,,,2.0,,760.0,0.74,,,,,,172.pdf,ZIF-81,ZIF,,,,
375,ZIF-78,Zn,,solvothermal,,,2.0,,620.0,0.71,,,,298.0,1.066576,172.pdf,ZIF-78,ZIF,,,,
376,ZIF-95,Zn,cbIM (5-chlorobenzimidazole),solvothermal,DMF/H2O,crystalline,2.0,72.0,1.0,2.51,0.43,,,,,173.pdf,ZIF-95,ZIF,,,,
377,ZIF-100,Zn,cbIM (5-chlorobenzimidazole),solvothermal,AnhydrousDMF/H2O,crystalline,2.0,48.0,780.0,3.56,0.37,28.2,,273.0,,173.pdf,ZIF-100,ZIF,,,,
378,NUSy5,Zn,4-pyrazolecarboxylic acid (PyC),solvothermal,DMA/isopropanol//H2O(v/v/v/2/2/1),colorless crystal,2.0,3.0,409.8,0.7,,1.82,,298.0,1.0,174.pdf,NUSy5,NUSy5,,,,
379,TbL,Tb,L3- ligands,solvothermal,DMF/H2O,light yellow crystals,3.0,72.0,726.0,1.53,0.34,1.7725528687427499,,293.0,1.0,175.pdf,TbL,TbL,,,,
380,[Zn(atz)2] (MAF-66),Zn,"3-amino-1,2,4-triazolate (atz−)",acid-base neutralization,isopropylalcohol(iPrOH)/aqueousammonia,colorless crystals,,3.0,1014.0,0.32,0.43,6.26,,273.0,1.01325,176.pdf,[Zn(atz)2] (MAF-66),[Zn(atz)2] (MAF-66),,,,
381,Cu-BTC,Cu,H3BTC,solvothermal,EtOH,,,24.0,1116.0,,,1.0676362987418577,99.0,,,177.pdf,Cu-BTC,Metal/BTC,,,,
382,UiO-66,Zr,H2BDC,solvothermal,DMF,,,24.0,1272.0,,,0.850807531007406,99.0,,,177.pdf,UiO-66,UiO,,,,
383,UiO-66/Cu-BTC,"Cu, Zr",,solvothermal,,,,24.0,693.0,,,1.4192022842866063,99.0,,,177.pdf,UiO-66,UiO,,,,
384,Cu-BTC/UiO-66,"Cu, Zr",,solvothermal,,,2.0,24.0,255.0,,,1.3214954938877488,,,,177.pdf,UiO-66,UiO,,,,
385,Mn-BTC,Mn,H3BTC,hydrothermal,DMF/H2O,solid,2.0,96.0,24.97,4.0,,,,,,178.pdf,Mn-BTC,Metal/BTC,,,,
386,Ni-BTC,Ni,H3BTC,hydrothermal,DMF/H2O,solid,2.0,96.0,14.09,4.0,,,,,,178.pdf,Ni-BTC,Metal/BTC,,,,
387,Co-BTC,Co,H3BTC,hydrothermal,DMF/H2O,solid,2.0,96.0,16.33,4.0,,,,,,178.pdf,Co-BTC,Metal/BTC,,,,
388,UiO-66,Zr,H2BDC,solvothermal,DMF,solid,4.0,12.0,1665.0,6.5,,,,,,179.pdf,UiO-66,UiO,,,,
389,UiO-66-NH2,Zr,NH2-BDC,solvothermal,DMF,solid,4.0,12.0,1468.0,5.25,,,,,,179.pdf,UiO-66,UiO,,,,
390,UiO-66-NO2,Zr,H2BDC-NO2,solvothermal,DMF,solid,4.0,12.0,899.0,5.25,,,,,,179.pdf,UiO-66,UiO,,,,
391,UiO-66-OH,Zr,H2BDC-OH,solvothermal,DMF,solid,4.0,2.0,1345.0,5.25,,,,,,179.pdf,UiO-66,UiO,,,,
392,UiO-66-(OH)2,Zr,H2BDC-(OH)2,solvothermal,DMF,solid,4.0,,501.0,,,,,,,179.pdf,UiO-66,UiO,,,,
393,UiO-66-Br,Zr,H2BDC-Br,solvothermal,DMF,solid,4.0,12.0,1029.0,5.25,,,,,,179.pdf,UiO-66,UiO,,,,
394,UiO-66-Cl,Zr,H2BDC-Cl,solvothermal,DMF,solid,4.0,12.0,1240.0,5.25,,,,,,179.pdf,UiO-66,UiO,,,,
395,UiO-66-naphthyl,Zr,H2BDC-naphthyl,solvothermal,DMF,solid,4.0,12.0,412.0,5.25,,,,,,179.pdf,UiO-66,UiO,,,,
396,UiO-66,Zr,H2BDC,solvothermal,,solid,4.0,,1059.0,0.6,,,,298.0,0.05,180.pdf,UiO-66,UiO,,,,
397,MOFs,"Various (e.g., Cu, Ni, Zn)",Various organic ligands,self-assembly,,solid,,,,,,,,,,181.pdf,MOFs,MOF,,,,
398,NNU-28,Zr,H2L,solvothermal,DMF/benzoicacid,solid,,,,,,,,,,182.pdf,NNU-28,NNU-28,,,,
399,Cu-MOF,Cu,,mw-assisted method,solvent/free,solid,,,,,,,,,,182.pdf,Cu-MOF,MOF,,,,
400,Ag@MIL-101,Ag,,liquid impregnation,,solid,,,,,,,,,,182.pdf,MIL-101,MIL,,,,
401,MIL-100(Fe),Fe,,synthesis method not specified,,solid,,,,,,,,,,182.pdf,MIL-100,MIL,,,,
402,Cu(IN)-MOF,Cu,,post-synthetic modification,,solid,,,,,,,,,,182.pdf,Cu(IN)-MOF,MOF,,,,
403,UiO-66,Zr,H2BDC,solvothermal,DMF,solid,4.0,10.0,1337.1,0.9,1.88,,,,,183.pdf,UiO-66,UiO,,,cm3,
404,Cu-Zn@UiO-66,"Cu, Zn",H2BDC,deposition-precipitation,H2O,solid,0.0,,96.3,0.9,,,,,30.0,183.pdf,UiO-66,UiO,,,,
405,MIL-101,Cr,H2BDC,solvothermal,De/ionizedHF/H2O,solid,3.0,8.0,3361.0,3.38,2.84,,,,,184.pdf,MIL-101,MIL,,,cm3,
406,20Ni@MIL-101(DSM),Sc,H2BDC,double solvent method,n/hexane/H2O,solid,2.0,5.0,3297.0,3.16,2.6,,,,,184.pdf,MIL-101,MIL,,,cm3,
407,20Ni@MIL-101(IM),Sc,H2BDC,multiple impregnation method,DistilledH2O,solid,2.0,5.0,3284.0,3.04,2.34,,,,,184.pdf,MIL-101,MIL,,,cm3,
408,Zn/Co-ZIF,"Zn, Co",2-methylimidazole,spray drying,H2O,solid,2.0,8.0,694.0,1.22,0.28,,,273.0,,185.pdf,Zn/Co-ZIF,ZIF,,,,
409,MoO3-x/g-C3N4,Mo,,hydrothermal,EtOH,2d/2d nanohybrid,5.0,12.0,36.25,,,,,,,186.pdf,MoO3-x/g-C3N4,MoO3-x/g-C3N4,,,,
410,MOF-74(Ni)-24-140,Ni,H4doBDC,condensation reflux method,DMF/EtOH//H2O,solid,,24.0,1129.0,0.6,0.46,3.82,26.8,298.0,1.0,187.pdf,MOF-74,MOF,,,cm3,
411,ZIF-8,Zn,HmIM,flow synthesis,H2O,solid,2.0,6.0,,0.34,,,,303.0,1.0,188.pdf,ZIF-8,ZIF,,,,
412,ZIF-67,Co,HmIM,flow synthesis,H2O,solid,2.0,,,,,,,,,188.pdf,ZIF-67,ZIF,,,,
413,MIL-101,Cr,,in situ polymerization of ils,,,3.0,24.0,,3.15,,,,,1.0132511,189.pdf,MIL-101,MIL,,,,
414,MIL-101-IP,Cr,,incorporation of linear ionic polymer,,,3.0,68.0,,,,,,,1.0132511,189.pdf,MIL-101,MIL,,,,
415,mesoCu@Al-bpydc,Al,bpydc,wet-impregnation,,,3.0,24.0,,,,,,,1.0132511,189.pdf,mesoCu@Al-bpydc,mesoCu@Al-bpydc,,,,
416,Ag@MIL-101,Ag,,liquid impregnation,DMF,,0.0,15.0,,,,,,,1.0132511,189.pdf,MIL-101,MIL,,,,
417,Au12Ag32(SR)30@ZIF-8,"Au, Ag",,self-assembly,,,,24.0,,,,,,,1.0132511,189.pdf,ZIF-8,ZIF,,,,
418,0.5Ag@ZIF-8,Ag,,rapid mixing,MeOH,,1.0,20.0,,,,,,,1.0132511,189.pdf,ZIF-8,ZIF,,,,
419,ZIF-68,Zn,"2-nitroimidazole, benzimidazole",hydrothermal,DMF,solid,2.0,12.0,,1.03,,,,,,190.pdf,ZIF-68,ZIF,,,,
420,ZIF-8,Zn,dimethylimidazole,in situ synthesis,,solid,2.0,,1323.18,,,,,,,191.pdf,ZIF-8,ZIF,,,,
421,Bi2S3/ZIF-8,Bi,,hydrothermal,,solid,3.0,,805.94,,,,,,,191.pdf,ZIF-8,ZIF,,,,
422,ZIF-67,Co,2-methylimidazole,co-precipitation,MeOH,,2.0,,1844.303,2.95,,,,,,192.pdf,ZIF-67,ZIF,,,,
423,CdS-P25/ZIF-67,"Cd, Ti",,hydrothermal,,,2.0,18.0,56.001,,,,,,,192.pdf,ZIF-67,ZIF,,,,
424,BiOCl/Bi-MOF,Bi,H3BTC,solvothermal with in situ growth,DMF/MeOH,hybrid,,24.0,19.6,0.34,,0.7227625591148389,18.4,298.0,1.0,193.pdf,BiOCl/Bi-MOF,MOF,,,,
425,JBp,Zn,"5,15-Di[4-(4-tributylammoniobutoxy)phenyl]porphyrin",solvent-free synthesis,nosolvent,liquid,,5.0,,,,,,,20.0,194.pdf,JBp,JBp,,,,
426,JBm,Zn,"5,15-di[3-(4-tributylammoniobutoxy)phenyl]porphyrin",solvent-free synthesis,nosolvent,liquid,,5.0,,,,,,,20.0,194.pdf,JBm,JBm,,,,
427,UiO-66-NH2,Zr,NH2-BDC,solvothermal,N/N/DMF,solid,,24.0,448.7,,,,38.3,,,195.pdf,UiO-66,UiO,,,,
428,Au/UiO-66-NH2/GR,Au,NH2-BDC,photoreduction and hydrothermal,N/N/DMF/MeOH,solid,,60.0,604.0,,,,80.9,,,195.pdf,UiO-66,UiO,,,,
429,ZIF-7,Zn,bIm,,DMF,,2.0,,,0.29,,,,,,196.pdf,ZIF-7,ZIF,,,,
430,ZIF-8,Zn,mIm,,DMF,,2.0,,,0.34,,,,,,196.pdf,ZIF-8,ZIF,,,,
431,ZIF-90,Zn,Ica,,DMF,,2.0,1.0,,0.33,,,,,,196.pdf,ZIF-90,ZIF,,,,
432,Co-MOF-74,Co,H4DHBDC,microwave heating,DMF/EtOH/H2O,solid,2.0,1.0,1314.0,1.15,0.51,6.543967280163599,,298.0,1.0,197.pdf,MOF-74,MOF,,,,
433,F-ZIF-90,Zn,Imidazolate,post-functionalization,THF/DMF/MeOH,solid,,6.0,763.0,,,,97.9,,11.7,198.pdf,ZIF-90,ZIF,,,,
